fold,feature,gain_importance
0,Age,0.007756846900366436
0,Annual_Income_USD,0.09303759397674613
0,Daily_Commute_km,0.008634856773550944
0,Number_of_Cars_Owned,0.001139236712908356
0,Charging_Stations_Near_Home,0.0034382307220583758
0,Charging_Stations_Near_Work,0.0032136693294104305
0,Environmental_Concern_Level,0.508353961017936
0,Gender,0.0006444223314878829
0,City_Type,0.0007060030167421647
0,Current_Car_Type,0.0009728302335202228
0,Home_Charging_Possible,0.0016191060995865338
0,Subsidy_Available,0.3446416819990112
0,Range_Anxiety_Level,0.025841560886675368
1,Age,0.0069403867783215355
1,Annual_Income_USD,0.09259876482527377
1,Daily_Commute_km,0.008059829496737338
1,Number_of_Cars_Owned,0.0009167423172157606
1,Charging_Stations_Near_Home,0.0027727035430027656
1,Charging_Stations_Near_Work,0.002454222505902659
1,Environmental_Concern_Level,0.5105434158223764
1,Gender,0.00042483950426878
1,City_Type,0.0005128028652508441
1,Current_Car_Type,0.00083888000894835
1,Home_Charging_Possible,0.0016726142249410415
1,Subsidy_Available,0.34655768127283787
1,Range_Anxiety_Level,0.025707116834922907
2,Age,0.0069655629589172865
2,Annual_Income_USD,0.09324199944863383
2,Daily_Commute_km,0.008176599627201572
2,Number_of_Cars_Owned,0.0008592328385060929
2,Charging_Stations_Near_Home,0.002963943342158595
2,Charging_Stations_Near_Work,0.002726966448925536
2,Environmental_Concern_Level,0.5087329482011685
2,Gender,0.0004420520927873404
2,City_Type,0.0005634595921407765
2,Current_Car_Type,0.0009257112243340416
2,Home_Charging_Possible,0.0015795184937030162
2,Subsidy_Available,0.3470493528118014
2,Range_Anxiety_Level,0.02577265291972202
3,Age,0.007279752118572945
3,Annual_Income_USD,0.09197115382202307
3,Daily_Commute_km,0.008936391224133393
3,Number_of_Cars_Owned,0.0008773934814078679
3,Charging_Stations_Near_Home,0.0033588140807562497
3,Charging_Stations_Near_Work,0.0033089524809814743
3,Environmental_Concern_Level,0.5064929476237234
3,Gender,0.0005482558931621335
3,City_Type,0.0006999237489438662
3,Current_Car_Type,0.000992863720960743
3,Home_Charging_Possible,0.001693253168291429
3,Subsidy_Available,0.34754893868395803
3,Range_Anxiety_Level,0.026291359953085416
4,Age,0.00642039604709791
4,Annual_Income_USD,0.09253481349840817
4,Daily_Commute_km,0.007800885481667341
4,Number_of_Cars_Owned,0.0008142204829574348
4,Charging_Stations_Near_Home,0.0028247828712869632
4,Charging_Stations_Near_Work,0.00244972164510203
4,Environmental_Concern_Level,0.5097531835718939
4,Gender,0.0004263168053056692
4,City_Type,0.0005977751531066761
4,Current_Car_Type,0.0007747591297775937
4,Home_Charging_Possible,0.0017121822510771272
4,Subsidy_Available,0.34799684954984833
4,Range_Anxiety_Level,0.025894113512470843
