outer_fold,source_column,feature,smoothing,outer_train_prior,unique_keys,min_count,median_count,max_count,validation_unseen_rate,test_unseen_rate
0,Gender,TTE__Gender__m1p0,1.0,0.1746464971248682,3,4263,236101.0,294568,0.0,0.0
0,Gender,TTE__Gender__m5p0,5.0,0.1746464971248682,3,4263,236101.0,294568,0.0,0.0
0,Gender,TTE__Gender__m20p0,20.0,0.1746464971248682,3,4263,236101.0,294568,0.0,0.0
0,City_Type,TTE__City_Type__m1p0,1.0,0.1746464971248682,3,99127,204049.0,231756,0.0,0.0
0,City_Type,TTE__City_Type__m5p0,5.0,0.1746464971248682,3,99127,204049.0,231756,0.0,0.0
0,City_Type,TTE__City_Type__m20p0,20.0,0.1746464971248682,3,99127,204049.0,231756,0.0,0.0
0,Current_Car_Type,TTE__Current_Car_Type__m1p0,1.0,0.1746464971248682,4,31461,130367.0,242737,0.0,0.0
0,Current_Car_Type,TTE__Current_Car_Type__m5p0,5.0,0.1746464971248682,4,31461,130367.0,242737,0.0,0.0
0,Current_Car_Type,TTE__Current_Car_Type__m20p0,20.0,0.1746464971248682,4,31461,130367.0,242737,0.0,0.0
0,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m1p0,1.0,0.1746464971248682,3,1749,49987.0,483196,0.0,0.0
0,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m5p0,5.0,0.1746464971248682,3,1749,49987.0,483196,0.0,0.0
0,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m20p0,20.0,0.1746464971248682,3,1749,49987.0,483196,0.0,0.0
1,Gender,TTE__Gender__m1p0,1.0,0.17464462772838416,3,4198,236528.0,294206,0.0,0.0
1,Gender,TTE__Gender__m5p0,5.0,0.17464462772838416,3,4198,236528.0,294206,0.0,0.0
1,Gender,TTE__Gender__m20p0,20.0,0.17464462772838416,3,4198,236528.0,294206,0.0,0.0
1,City_Type,TTE__City_Type__m1p0,1.0,0.17464462772838416,3,99186,204461.0,231285,0.0,0.0
1,City_Type,TTE__City_Type__m5p0,5.0,0.17464462772838416,3,99186,204461.0,231285,0.0,0.0
1,City_Type,TTE__City_Type__m20p0,20.0,0.17464462772838416,3,99186,204461.0,231285,0.0,0.0
1,Current_Car_Type,TTE__Current_Car_Type__m1p0,1.0,0.17464462772838416,4,31280,130279.0,243094,0.0,0.0
1,Current_Car_Type,TTE__Current_Car_Type__m5p0,5.0,0.17464462772838416,4,31280,130279.0,243094,0.0,0.0
1,Current_Car_Type,TTE__Current_Car_Type__m20p0,20.0,0.17464462772838416,4,31280,130279.0,243094,0.0,0.0
1,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m1p0,1.0,0.17464462772838416,3,1765,49954.0,483213,0.0,0.0
1,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m5p0,5.0,0.17464462772838416,3,1765,49954.0,483213,0.0,0.0
1,Range_Anxiety_Level,TTE__Range_Anxiety_Level__m20p0,20.0,0.17464462772838416,3,1765,49954.0,483213,0.0,0.0
2,Gender,TTE__Gender__m1p0,1.0,0.17464462772838416,3,4266,236325.0,294341,0.0,0.0
2,Gender,TTE__Gender__m5p0,5.0,0.17464462772838416,3,4266,236325.0,294341,0.0,0.0
2,Gender,TTE__Gender__m20p0,20.0,0.17464462772838416,3,4266,236325.0,294341,0.0,0.0
