fold,feature,gain_importance
0,Age,0.0014635432744398713
0,Annual_Income_USD,0.009316801093518734
0,Daily_Commute_km,0.0016248394967988133
0,Number_of_Cars_Owned,0.0010383015032857656
0,Charging_Stations_Near_Home,0.0012278783833608031
0,Charging_Stations_Near_Work,0.0011286220978945494
0,Environmental_Concern_Level,0.19422109425067902
0,Gender,0.0008911752374842763
0,City_Type,0.0011703013442456722
0,Current_Car_Type,0.001080071902833879
0,Home_Charging_Possible,0.002716555492952466
0,Subsidy_Available,0.7600870728492737
0,Range_Anxiety_Level,0.024033740162849426
1,Age,0.0015537884319201112
1,Annual_Income_USD,0.010149856097996235
1,Daily_Commute_km,0.0017870094161480665
1,Number_of_Cars_Owned,0.001054862281307578
1,Charging_Stations_Near_Home,0.0012454437091946602
1,Charging_Stations_Near_Work,0.001148490235209465
1,Environmental_Concern_Level,0.212405264377594
1,Gender,0.000938153883907944
1,City_Type,0.0011479574022814631
1,Current_Car_Type,0.0010955160250887275
1,Home_Charging_Possible,0.0032204047311097383
1,Subsidy_Available,0.7397650480270386
1,Range_Anxiety_Level,0.024488117545843124
2,Age,0.0015153546119108796
2,Annual_Income_USD,0.00952417217195034
2,Daily_Commute_km,0.0017046359134837985
2,Number_of_Cars_Owned,0.0010460480116307735
2,Charging_Stations_Near_Home,0.0012422999134287238
2,Charging_Stations_Near_Work,0.001162221422418952
2,Environmental_Concern_Level,0.20538359880447388
2,Gender,0.0009414897649548948
2,City_Type,0.0011356783797964454
2,Current_Car_Type,0.0010806533973664045
2,Home_Charging_Possible,0.0030993600375950336
2,Subsidy_Available,0.7486228346824646
2,Range_Anxiety_Level,0.023541685193777084
3,Age,0.0014928639866411686
3,Annual_Income_USD,0.009398967027664185
3,Daily_Commute_km,0.0016660044202581048
3,Number_of_Cars_Owned,0.0010064076632261276
3,Charging_Stations_Near_Home,0.0012330036843195558
3,Charging_Stations_Near_Work,0.0011313807917758822
3,Environmental_Concern_Level,0.20024415850639343
3,Gender,0.0008874994819052517
3,City_Type,0.001135441823862493
3,Current_Car_Type,0.0010944233508780599
3,Home_Charging_Possible,0.003059855429455638
3,Subsidy_Available,0.7543613314628601
3,Range_Anxiety_Level,0.023288724943995476
4,Age,0.0014459897065535188
4,Annual_Income_USD,0.009396959096193314
4,Daily_Commute_km,0.00160832772962749
4,Number_of_Cars_Owned,0.0010028036776930094
4,Charging_Stations_Near_Home,0.0011981010902673006
4,Charging_Stations_Near_Work,0.0011068652383983135
4,Environmental_Concern_Level,0.2018720805644989
4,Gender,0.0008699708268977702
4,City_Type,0.0011535470839589834
4,Current_Car_Type,0.001037567388266325
4,Home_Charging_Possible,0.0029551000334322453
4,Subsidy_Available,0.7534914016723633
4,Range_Anxiety_Level,0.022861305624246597
