feature,level,competition_count,competition_target_rate,original_count,original_target_rate
Number_of_Cars_Owned,1,288012.0,0.17135049928475202,3946,0.1725798276735935
Number_of_Cars_Owned,2,298287.0,0.17818409786547854,4020,0.1761194029850746
Number_of_Cars_Owned,3,68877.0,0.17484791730185692,1523,0.1871306631648063
Number_of_Cars_Owned,4,13489.0,0.16569056268070279,511,0.1487279843444227
Charging_Stations_Near_Home,0,69865.0,0.18511414871537965,932,0.1781115879828326
Charging_Stations_Near_Home,1,68177.0,0.19798465758246916,966,0.19772256728778467
Charging_Stations_Near_Home,10,20055.0,0.1693343305908751,364,0.20604395604395603
Charging_Stations_Near_Home,11,23668.0,0.17014534392428596,401,0.1745635910224439
Charging_Stations_Near_Home,12,21642.0,0.17475279549025044,381,0.1732283464566929
Charging_Stations_Near_Home,13,21282.0,0.1728221031857908,380,0.18157894736842106
Charging_Stations_Near_Home,14,20548.0,0.17335020439945492,373,0.17158176943699732
Charging_Stations_Near_Home,2,101547.0,0.18804100564270732,1302,0.18740399385560677
Charging_Stations_Near_Home,3,58845.0,0.1615430367915711,871,0.1549942594718714
Charging_Stations_Near_Home,4,53692.0,0.1584779855471951,793,0.17023959646910466
Charging_Stations_Near_Home,5,52986.0,0.16851621182953988,823,0.1543134872417983
Charging_Stations_Near_Home,6,55707.0,0.1642881505017323,823,0.1591737545565006
Charging_Stations_Near_Home,7,57439.0,0.16690750187155068,835,0.1532934131736527
Charging_Stations_Near_Home,8,20816.0,0.16271137586471945,373,0.19571045576407506
Charging_Stations_Near_Home,9,22396.0,0.1669048044293624,383,0.19843342036553524
Charging_Stations_Near_Work,0,25673.0,0.19144626650566743,379,0.1820580474934037
Charging_Stations_Near_Work,1,53736.0,0.18157287479529552,765,0.16732026143790849
Charging_Stations_Near_Work,10,15616.0,0.16393442622950818,291,0.18556701030927836
Charging_Stations_Near_Work,11,15612.0,0.1683961055598258,282,0.20921985815602837
Charging_Stations_Near_Work,12,17308.0,0.16373931130113242,302,0.17880794701986755
Charging_Stations_Near_Work,13,17183.0,0.16516324273991737,296,0.16554054054054054
Charging_Stations_Near_Work,14,17366.0,0.17050558562708742,294,0.19047619047619047
Charging_Stations_Near_Work,15,16306.0,0.17177725990432968,276,0.16666666666666666
Charging_Stations_Near_Work,16,20049.0,0.17342510848421366,302,0.1986754966887417
Charging_Stations_Near_Work,17,18166.0,0.17064846416382254,285,0.15789473684210525
Charging_Stations_Near_Work,18,18113.0,0.16789046541158284,290,0.18275862068965518
Charging_Stations_Near_Work,19,16934.0,0.169835833234912,274,0.1678832116788321
Charging_Stations_Near_Work,2,49538.0,0.18838063708668093,702,0.18803418803418803
Charging_Stations_Near_Work,3,79739.0,0.17704009330440562,1057,0.17218543046357615
Charging_Stations_Near_Work,4,45472.0,0.17263370865587616,678,0.18436578171091444
Charging_Stations_Near_Work,5,46737.0,0.17609174743779019,708,0.18220338983050846
Charging_Stations_Near_Work,6,49103.0,0.16876769240168626,717,0.15620641562064155
Charging_Stations_Near_Work,7,45594.0,0.1696933807079879,677,0.16691285081240767
Charging_Stations_Near_Work,8,50675.0,0.17363591514553528,719,0.15577190542420027
Charging_Stations_Near_Work,9,49745.0,0.17364559252186149,706,0.17847025495750707
Environmental_Concern_Level,1,147476.0,0.00565515744934769,2013,0.02136115250869349
Environmental_Concern_Level,2,135133.0,0.02137893778721704,1948,0.049281314168377825
Environmental_Concern_Level,3,127351.0,0.11092178310339142,1958,0.14453524004085802
Environmental_Concern_Level,4,130469.0,0.2488483854402195,1989,0.25289089994972347
Environmental_Concern_Level,5,128236.0,0.5182865965875417,1908,0.4140461215932914
Environmental_Concern_Level,__MISSING__,,,184,0.19021739130434784
Gender,Female,295427.0,0.17764117700819493,4498,0.18030235660293464
Gender,Male,367954.0,0.17225250982459764,5201,0.17092866756393002
Gender,Other,5284.0,0.1737320211960636,301,0.16611295681063123
City_Type,Rural,123983.0,0.1933894162909431,1496,0.18983957219251338
City_Type,Suburban,255377.0,0.1809364194896173,3563,0.17681728880157171
City_Type,Urban,289305.0,0.1610583985758974,4941,0.16919651892329488
Current_Car_Type,Hatchback,79438.0,0.17429945366197538,1523,0.17465528562048588
Current_Car_Type,SUV,246545.0,0.18095276724330245,3486,0.18100975329890992
Current_Car_Type,Sedan,303459.0,0.17196721797672831,4000,0.17225
Current_Car_Type,Truck,39223.0,0.15641332891415752,991,0.16548940464177597
Home_Charging_Possible,No,205988.0,0.12708507291686894,3837,0.13369820172009383
Home_Charging_Possible,Yes,462677.0,0.1958191135500576,6163,0.20071393801719942
Subsidy_Available,No,248756.0,0.0057566450658476575,3992,0.02530060120240481
Subsidy_Available,Yes,419909.0,0.2746952315858912,6008,0.2744673768308921
Range_Anxiety_Level,High,2194.0,0.0013673655423883319,167,0.005988023952095809
Range_Anxiety_Level,Low,603972.0,0.18902697476041935,8310,0.198676293622142
Range_Anxiety_Level,Medium,62499.0,0.04174466791468664,1523,0.06434668417596848
